Date,City,Longitude,Latitude,PM2.5 (µg/m³),PM10 (µg/m³)
2015-10-01,Seoul,126.978,37.5665,0.0,0.0
2015-10-01,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-01,Beijing,116.4074,39.9042,0.0,0.0
2015-10-01,Delhi,77.1025,28.7041,0.0,0.0
2015-10-01,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-02,Seoul,126.978,37.5665,0.0,0.0
2015-10-02,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-02,Beijing,116.4074,39.9042,0.0,0.0
2015-10-02,Delhi,77.1025,28.7041,0.0,0.0
2015-10-02,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-03,Seoul,126.978,37.5665,0.0,0.0
2015-10-03,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-03,Beijing,116.4074,39.9042,0.0,0.0
2015-10-03,Delhi,77.1025,28.7041,0.0,0.0
2015-10-03,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-04,Seoul,126.978,37.5665,0.0,0.0
2015-10-04,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-04,Beijing,116.4074,39.9042,0.0,0.0
2015-10-04,Delhi,77.1025,28.7041,0.0,0.0
2015-10-04,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-05,Seoul,126.978,37.5665,0.0,0.0
2015-10-05,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-05,Beijing,116.4074,39.9042,0.0,0.0
2015-10-05,Delhi,77.1025,28.7041,0.0,0.0
2015-10-05,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-06,Seoul,126.978,37.5665,0.0,0.0
2015-10-06,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-06,Beijing,116.4074,39.9042,0.0,0.0
2015-10-06,Delhi,77.1025,28.7041,0.0,0.0
2015-10-06,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-07,Seoul,126.978,37.5665,0.0,0.0
2015-10-07,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-07,Beijing,116.4074,39.9042,0.0,0.0
2015-10-07,Delhi,77.1025,28.7041,0.0,0.0
2015-10-07,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-08,Seoul,126.978,37.5665,0.0,0.0
2015-10-08,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-08,Beijing,116.4074,39.9042,0.0,0.0
2015-10-08,Delhi,77.1025,28.7041,0.0,0.0
2015-10-08,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-09,Seoul,126.978,37.5665,0.0,0.0
2015-10-09,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-09,Beijing,116.4074,39.9042,0.0,0.0
2015-10-09,Delhi,77.1025,28.7041,0.0,0.0
2015-10-09,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-10,Seoul,126.978,37.5665,0.0,0.0
2015-10-10,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-10,Beijing,116.4074,39.9042,0.0,0.0
2015-10-10,Delhi,77.1025,28.7041,0.0,0.0
2015-10-10,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-11,Seoul,126.978,37.5665,0.0,0.0
2015-10-11,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-11,Beijing,116.4074,39.9042,0.0,0.0
2015-10-11,Delhi,77.1025,28.7041,0.0,0.0
2015-10-11,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-12,Seoul,126.978,37.5665,0.0,0.0
2015-10-12,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-12,Beijing,116.4074,39.9042,0.0,0.0
2015-10-12,Delhi,77.1025,28.7041,0.0,0.0
2015-10-12,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-13,Seoul,126.978,37.5665,0.0,0.0
2015-10-13,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-13,Beijing,116.4074,39.9042,0.0,0.0
2015-10-13,Delhi,77.1025,28.7041,0.0,0.0
2015-10-13,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-14,Seoul,126.978,37.5665,0.0,0.0
2015-10-14,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-14,Beijing,116.4074,39.9042,0.0,0.0
2015-10-14,Delhi,77.1025,28.7041,0.0,0.0
2015-10-14,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-15,Seoul,126.978,37.5665,0.0,0.0
2015-10-15,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-15,Beijing,116.4074,39.9042,0.0,0.0
2015-10-15,Delhi,77.1025,28.7041,0.0,0.0
2015-10-15,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-16,Seoul,126.978,37.5665,0.0,0.0
2015-10-16,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-16,Beijing,116.4074,39.9042,0.0,0.0
2015-10-16,Delhi,77.1025,28.7041,0.0,0.0
2015-10-16,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-17,Seoul,126.978,37.5665,0.0,0.0
2015-10-17,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-17,Beijing,116.4074,39.9042,0.0,0.0
2015-10-17,Delhi,77.1025,28.7041,0.0,0.0
2015-10-17,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-18,Seoul,126.978,37.5665,0.0,0.0
2015-10-18,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-18,Beijing,116.4074,39.9042,0.0,0.0
2015-10-18,Delhi,77.1025,28.7041,0.0,0.0
2015-10-18,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-19,Seoul,126.978,37.5665,0.0,0.0
2015-10-19,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-19,Beijing,116.4074,39.9042,0.0,0.0
2015-10-19,Delhi,77.1025,28.7041,0.0,0.0
2015-10-19,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-20,Seoul,126.978,37.5665,0.0,0.0
2015-10-20,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-20,Beijing,116.4074,39.9042,0.0,0.0
2015-10-20,Delhi,77.1025,28.7041,0.0,0.0
2015-10-20,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-21,Seoul,126.978,37.5665,0.0,0.0
2015-10-21,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-21,Beijing,116.4074,39.9042,0.0,0.0
2015-10-21,Delhi,77.1025,28.7041,0.0,0.0
2015-10-21,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-22,Seoul,126.978,37.5665,0.0,0.0
2015-10-22,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-22,Beijing,116.4074,39.9042,0.0,0.0
2015-10-22,Delhi,77.1025,28.7041,0.0,0.0
2015-10-22,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-23,Seoul,126.978,37.5665,0.0,0.0
2015-10-23,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-23,Beijing,116.4074,39.9042,0.0,0.0
2015-10-23,Delhi,77.1025,28.7041,0.0,0.0
2015-10-23,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-24,Seoul,126.978,37.5665,0.0,0.0
2015-10-24,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-24,Beijing,116.4074,39.9042,0.0,0.0
2015-10-24,Delhi,77.1025,28.7041,0.0,0.0
2015-10-24,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-25,Seoul,126.978,37.5665,0.0,0.0
2015-10-25,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-25,Beijing,116.4074,39.9042,0.0,0.0
2015-10-25,Delhi,77.1025,28.7041,0.0,0.0
2015-10-25,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-26,Seoul,126.978,37.5665,0.0,0.0
2015-10-26,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-26,Beijing,116.4074,39.9042,0.0,0.0
2015-10-26,Delhi,77.1025,28.7041,0.0,0.0
2015-10-26,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-27,Seoul,126.978,37.5665,0.0,0.0
2015-10-27,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-27,Beijing,116.4074,39.9042,0.0,0.0
2015-10-27,Delhi,77.1025,28.7041,0.0,0.0
2015-10-27,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-28,Seoul,126.978,37.5665,0.0,0.0
2015-10-28,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-28,Beijing,116.4074,39.9042,0.0,0.0
2015-10-28,Delhi,77.1025,28.7041,0.0,0.0
2015-10-28,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-29,Seoul,126.978,37.5665,0.0,0.0
2015-10-29,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-29,Beijing,116.4074,39.9042,0.0,0.0
2015-10-29,Delhi,77.1025,28.7041,0.0,0.0
2015-10-29,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-30,Seoul,126.978,37.5665,0.0,0.0
2015-10-30,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-30,Beijing,116.4074,39.9042,0.0,0.0
2015-10-30,Delhi,77.1025,28.7041,0.0,0.0
2015-10-30,Bangkok,100.5018,13.7563,0.0,0.0
2015-10-31,Seoul,126.978,37.5665,0.0,0.0
2015-10-31,Tokyo,139.6917,35.6895,0.0,0.0
2015-10-31,Beijing,116.4074,39.9042,0.0,0.0
