Date,City,Longitude,Latitude,PM2.5 (µg/m³),PM10 (µg/m³)
2024-12-01,Seoul,126.978,37.5665,48.25065502700454,52.656222493396854
2024-12-01,Tokyo,139.6917,35.6895,45.325570852128294,46.12214254962055
2024-12-01,Beijing,116.4074,39.9042,96.88211832781235,101.96222177683012
2024-12-01,Delhi,77.1025,28.7041,91.78990723057723,97.23679283979436
2024-12-01,Bangkok,100.5018,13.7563,41.5111216511832,41.91829816591053
2024-12-02,Seoul,126.978,37.5665,25.816518700594315,31.261407684723963
2024-12-02,Tokyo,139.6917,35.6895,38.44045082246339,39.9503541359536
2024-12-02,Beijing,116.4074,39.9042,40.32015610277995,41.25129748899781
2024-12-02,Delhi,77.1025,28.7041,75.79569683002774,82.57227079866425
2024-12-02,Bangkok,100.5018,13.7563,40.916493304621326,41.291077224059336
2024-12-03,Seoul,126.978,37.5665,32.61979841795437,33.642983510162594
2024-12-03,Tokyo,139.6917,35.6895,57.39744679544856,59.19705614587656
2024-12-03,Beijing,116.4074,39.9042,134.79140648087196,138.04478271595144
2024-12-03,Delhi,77.1025,28.7041,79.24634815026366,88.86841129651657
2024-12-03,Bangkok,100.5018,13.7563,32.1793471869114,32.40470647369875
2024-12-04,Seoul,126.978,37.5665,0.0,0.0
2024-12-04,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-04,Beijing,116.4074,39.9042,0.0,0.0
2024-12-04,Delhi,77.1025,28.7041,0.0,0.0
2024-12-04,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-05,Seoul,126.978,37.5665,0.0,0.0
2024-12-05,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-05,Beijing,116.4074,39.9042,0.0,0.0
2024-12-05,Delhi,77.1025,28.7041,0.0,0.0
2024-12-05,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-06,Seoul,126.978,37.5665,0.0,0.0
2024-12-06,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-06,Beijing,116.4074,39.9042,0.0,0.0
2024-12-06,Delhi,77.1025,28.7041,0.0,0.0
2024-12-06,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-07,Seoul,126.978,37.5665,0.0,0.0
2024-12-07,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-07,Beijing,116.4074,39.9042,0.0,0.0
2024-12-07,Delhi,77.1025,28.7041,0.0,0.0
2024-12-07,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-08,Seoul,126.978,37.5665,0.0,0.0
2024-12-08,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-08,Beijing,116.4074,39.9042,0.0,0.0
2024-12-08,Delhi,77.1025,28.7041,0.0,0.0
2024-12-08,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-09,Seoul,126.978,37.5665,0.0,0.0
2024-12-09,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-09,Beijing,116.4074,39.9042,0.0,0.0
2024-12-09,Delhi,77.1025,28.7041,0.0,0.0
2024-12-09,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-10,Seoul,126.978,37.5665,0.0,0.0
2024-12-10,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-10,Beijing,116.4074,39.9042,0.0,0.0
2024-12-10,Delhi,77.1025,28.7041,0.0,0.0
2024-12-10,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-11,Seoul,126.978,37.5665,0.0,0.0
2024-12-11,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-11,Beijing,116.4074,39.9042,0.0,0.0
2024-12-11,Delhi,77.1025,28.7041,0.0,0.0
2024-12-11,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-12,Seoul,126.978,37.5665,0.0,0.0
2024-12-12,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-12,Beijing,116.4074,39.9042,0.0,0.0
2024-12-12,Delhi,77.1025,28.7041,0.0,0.0
2024-12-12,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-13,Seoul,126.978,37.5665,0.0,0.0
2024-12-13,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-13,Beijing,116.4074,39.9042,0.0,0.0
2024-12-13,Delhi,77.1025,28.7041,0.0,0.0
2024-12-13,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-14,Seoul,126.978,37.5665,0.0,0.0
2024-12-14,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-14,Beijing,116.4074,39.9042,0.0,0.0
2024-12-14,Delhi,77.1025,28.7041,0.0,0.0
2024-12-14,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-15,Seoul,126.978,37.5665,0.0,0.0
2024-12-15,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-15,Beijing,116.4074,39.9042,0.0,0.0
2024-12-15,Delhi,77.1025,28.7041,0.0,0.0
2024-12-15,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-16,Seoul,126.978,37.5665,0.0,0.0
2024-12-16,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-16,Beijing,116.4074,39.9042,0.0,0.0
2024-12-16,Delhi,77.1025,28.7041,0.0,0.0
2024-12-16,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-17,Seoul,126.978,37.5665,0.0,0.0
2024-12-17,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-17,Beijing,116.4074,39.9042,0.0,0.0
2024-12-17,Delhi,77.1025,28.7041,0.0,0.0
2024-12-17,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-18,Seoul,126.978,37.5665,0.0,0.0
2024-12-18,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-18,Beijing,116.4074,39.9042,0.0,0.0
2024-12-18,Delhi,77.1025,28.7041,0.0,0.0
2024-12-18,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-19,Seoul,126.978,37.5665,0.0,0.0
2024-12-19,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-19,Beijing,116.4074,39.9042,0.0,0.0
2024-12-19,Delhi,77.1025,28.7041,0.0,0.0
2024-12-19,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-20,Seoul,126.978,37.5665,0.0,0.0
2024-12-20,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-20,Beijing,116.4074,39.9042,0.0,0.0
2024-12-20,Delhi,77.1025,28.7041,0.0,0.0
2024-12-20,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-21,Seoul,126.978,37.5665,0.0,0.0
2024-12-21,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-21,Beijing,116.4074,39.9042,0.0,0.0
2024-12-21,Delhi,77.1025,28.7041,0.0,0.0
2024-12-21,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-22,Seoul,126.978,37.5665,0.0,0.0
2024-12-22,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-22,Beijing,116.4074,39.9042,0.0,0.0
2024-12-22,Delhi,77.1025,28.7041,0.0,0.0
2024-12-22,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-23,Seoul,126.978,37.5665,0.0,0.0
2024-12-23,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-23,Beijing,116.4074,39.9042,0.0,0.0
2024-12-23,Delhi,77.1025,28.7041,0.0,0.0
2024-12-23,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-24,Seoul,126.978,37.5665,0.0,0.0
2024-12-24,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-24,Beijing,116.4074,39.9042,0.0,0.0
2024-12-24,Delhi,77.1025,28.7041,0.0,0.0
2024-12-24,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-25,Seoul,126.978,37.5665,0.0,0.0
2024-12-25,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-25,Beijing,116.4074,39.9042,0.0,0.0
2024-12-25,Delhi,77.1025,28.7041,0.0,0.0
2024-12-25,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-26,Seoul,126.978,37.5665,0.0,0.0
2024-12-26,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-26,Beijing,116.4074,39.9042,0.0,0.0
2024-12-26,Delhi,77.1025,28.7041,0.0,0.0
2024-12-26,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-27,Seoul,126.978,37.5665,0.0,0.0
2024-12-27,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-27,Beijing,116.4074,39.9042,0.0,0.0
2024-12-27,Delhi,77.1025,28.7041,0.0,0.0
2024-12-27,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-28,Seoul,126.978,37.5665,0.0,0.0
2024-12-28,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-28,Beijing,116.4074,39.9042,0.0,0.0
2024-12-28,Delhi,77.1025,28.7041,0.0,0.0
2024-12-28,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-29,Seoul,126.978,37.5665,0.0,0.0
2024-12-29,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-29,Beijing,116.4074,39.9042,0.0,0.0
2024-12-29,Delhi,77.1025,28.7041,0.0,0.0
2024-12-29,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-30,Seoul,126.978,37.5665,0.0,0.0
2024-12-30,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-30,Beijing,116.4074,39.9042,0.0,0.0
2024-12-30,Delhi,77.1025,28.7041,0.0,0.0
2024-12-30,Bangkok,100.5018,13.7563,0.0,0.0
2024-12-31,Seoul,126.978,37.5665,0.0,0.0
2024-12-31,Tokyo,139.6917,35.6895,0.0,0.0
2024-12-31,Beijing,116.4074,39.9042,0.0,0.0
2024-12-31,Delhi,77.1025,28.7041,0.0,0.0
2024-12-31,Bangkok,100.5018,13.7563,0.0,0.0
