Date,City,Longitude,Latitude,PM2.5 (µg/m³),PM10 (µg/m³)
2022-10-01,Seoul,126.978,37.5665,48.718757028609616,71.51050596121422
2022-10-01,Tokyo,139.6917,35.6895,23.57694839361102,36.80673898998066
2022-10-01,Beijing,116.4074,39.9042,76.11669161633472,109.28592075742927
2022-10-01,Delhi,77.1025,28.7041,84.61879730248256,133.1072212451545
2022-10-01,Bangkok,100.5018,13.7563,15.729298752376053,22.6295107097485
2022-10-02,Seoul,126.978,37.5665,42.65132247383008,61.40482611272091
2022-10-02,Tokyo,139.6917,35.6895,24.682467625325444,38.72899156931453
2022-10-02,Beijing,116.4074,39.9042,54.74154107787399,79.22503897361821
2022-10-02,Delhi,77.1025,28.7041,65.5840750596326,113.57293061564633
2022-10-02,Bangkok,100.5018,13.7563,40.191231676089956,57.723845259261
2022-10-03,Seoul,126.978,37.5665,9.24097243171218,13.635931495059594
2022-10-03,Tokyo,139.6917,35.6895,28.03938770057357,46.92584099075248
2022-10-03,Beijing,116.4074,39.9042,19.25456594165098,27.975685767955838
2022-10-03,Delhi,77.1025,28.7041,55.24409729673607,103.08987441476347
2022-10-03,Bangkok,100.5018,13.7563,37.625397908414016,53.90706903085629
2022-10-04,Seoul,126.978,37.5665,11.197473170909689,16.26007239963201
2022-10-04,Tokyo,139.6917,35.6895,12.684614247859827,21.655111481777567
2022-10-04,Beijing,116.4074,39.9042,27.47602323438514,39.25308078578382
2022-10-04,Delhi,77.1025,28.7041,82.08896673522759,126.55802095196123
2022-10-04,Bangkok,100.5018,13.7563,30.971357034559333,44.36939349261593
2022-10-05,Seoul,126.978,37.5665,14.644348844683464,21.68534329882732
2022-10-05,Tokyo,139.6917,35.6895,13.246536312294666,19.823348296199583
2022-10-05,Beijing,116.4074,39.9042,48.27266764095839,69.11216843263901
2022-10-05,Delhi,77.1025,28.7041,42.02360770477753,69.79392708217347
2022-10-05,Bangkok,100.5018,13.7563,59.044651834483375,84.5182412945178
2022-10-06,Seoul,126.978,37.5665,10.867319488738758,16.020321069731835
2022-10-06,Tokyo,139.6917,35.6895,9.391647459722208,14.308008999819322
2022-10-06,Beijing,116.4074,39.9042,63.90628470853699,92.31548858679162
2022-10-06,Delhi,77.1025,28.7041,21.836644492623236,40.835637094005506
2022-10-06,Bangkok,100.5018,13.7563,44.92173033554536,64.33433696884094
2022-10-07,Seoul,126.978,37.5665,11.109833941702618,16.19961587095986
2022-10-07,Tokyo,139.6917,35.6895,10.877850620261142,16.12014877139245
2022-10-07,Beijing,116.4074,39.9042,69.39824714891074,99.85980398141692
2022-10-07,Delhi,77.1025,28.7041,20.574606907075577,37.97334713340206
2022-10-07,Bangkok,100.5018,13.7563,48.76376280549266,69.85802514236639
2022-10-08,Seoul,126.978,37.5665,12.009198080420447,18.483058639162664
2022-10-08,Tokyo,139.6917,35.6895,17.65817003729353,25.64430801044182
2022-10-08,Beijing,116.4074,39.9042,60.019836212177324,87.55630886980725
2022-10-08,Delhi,77.1025,28.7041,19.146888519117056,29.9522291413723
2022-10-08,Bangkok,100.5018,13.7563,82.94878028891617,118.78373129547981
2022-10-09,Seoul,126.978,37.5665,15.101404571282728,23.316918174032253
2022-10-09,Tokyo,139.6917,35.6895,10.420337481775732,17.015343800608207
2022-10-09,Beijing,116.4074,39.9042,9.577529880289148,13.771693119224437
2022-10-09,Delhi,77.1025,28.7041,22.077703221157208,35.28029424160195
2022-10-09,Bangkok,100.5018,13.7563,63.598790234209446,91.10835463843614
2022-10-10,Seoul,126.978,37.5665,8.264039230709841,12.986008712800867
2022-10-10,Tokyo,139.6917,35.6895,9.837584080685247,15.684191723153162
2022-10-10,Beijing,116.4074,39.9042,49.62043576028918,71.67210469560814
2022-10-10,Delhi,77.1025,28.7041,31.910126097045577,50.59633778614625
2022-10-10,Bangkok,100.5018,13.7563,34.909014345885225,49.946617508567215
2022-10-11,Seoul,126.978,37.5665,19.41539906624712,28.143393393520455
2022-10-11,Tokyo,139.6917,35.6895,19.106844106886456,28.477318281261432
2022-10-11,Beijing,116.4074,39.9042,70.52517503325362,102.19947910172777
2022-10-11,Delhi,77.1025,28.7041,48.35835554217738,73.03185611817753
2022-10-11,Bangkok,100.5018,13.7563,47.58509675184541,68.49317202295424
2022-10-12,Seoul,126.978,37.5665,39.57637062512731,56.782493373930265
2022-10-12,Tokyo,139.6917,35.6895,13.001468346374168,20.204272033197412
2022-10-12,Beijing,116.4074,39.9042,86.20576608109332,123.45208233455196
2022-10-12,Delhi,77.1025,28.7041,66.31907467635756,99.01588526872729
2022-10-12,Bangkok,100.5018,13.7563,86.38911452862885,124.8110379492573
2022-10-13,Seoul,126.978,37.5665,31.785695853159268,47.04949319034313
2022-10-13,Tokyo,139.6917,35.6895,10.425725172069633,16.234436017725784
2022-10-13,Beijing,116.4074,39.9042,124.56965237106488,178.30564047471853
2022-10-13,Delhi,77.1025,28.7041,85.40971663251185,127.10678731764347
2022-10-13,Bangkok,100.5018,13.7563,66.7588437863742,96.97257752350197
2022-10-14,Seoul,126.978,37.5665,44.63707625745883,64.6542304139075
2022-10-14,Tokyo,139.6917,35.6895,11.08065461608021,17.095297621949612
2022-10-14,Beijing,116.4074,39.9042,153.55378479853243,219.83579756579275
2022-10-14,Delhi,77.1025,28.7041,93.92408628627891,141.50205629448465
2022-10-14,Bangkok,100.5018,13.7563,71.71728100274777,103.78688131140734
2022-10-15,Seoul,126.978,37.5665,48.8580056412502,70.40287641757459
2022-10-15,Tokyo,139.6917,35.6895,16.816027681443302,26.383888851455595
