Date,Location,Longitude,Latitude,PM2.5 (µg/m³),PM10 (µg/m³),Wind Speed (m/s),Wind Direction (degrees)
2018-05-01,Grid_20.0_100.0,100.0,20.0,23.668032866908106,0.0,0.9595000216312108,263.65676628796314
2018-05-01,Grid_20.0_111.7,111.7,20.0,5.006495662485122,0.0,0.0,180.0
2018-05-01,Grid_20.0_123.4,123.4,20.0,3.297865536211475,0.0,0.0,180.0
2018-05-01,Grid_20.0_135.0,135.0,20.0,4.204531833806868,0.0,0.0,180.0
2018-05-01,Grid_32.5_100.0,100.0,32.5,44.97964312122349,0.0,1.5269180723918214,70.80677735540385
2018-05-01,Grid_32.5_111.7,111.7,32.5,104.05907602262232,0.0,0.8201575046326477,118.83722945288034
2018-05-01,Grid_32.5_123.4,123.4,32.5,14.01186011662503,0.0,0.0,180.0
2018-05-01,Grid_32.5_135.0,135.0,32.5,14.469355491542046,0.0,0.0,180.0
2018-05-01,Grid_45.0_100.0,100.0,45.0,25.969050909679936,0.0,2.4373206756148478,226.20437379493245
2018-05-01,Grid_45.0_111.7,111.7,45.0,9.627004082801704,0.0,1.4567719488974982,186.69082546820684
2018-05-01,Grid_45.0_123.4,123.4,45.0,45.05892192696592,0.0,2.7804421484996915,88.56418311721974
2018-05-01,Grid_45.0_135.0,135.0,45.0,48.26179278438758,0.0,0.33233066316564863,175.74000517723113
2018-05-02,Grid_20.0_100.0,100.0,20.0,22.524062615048024,0.0,0.3433498790007674,61.81692153033076
2018-05-02,Grid_20.0_111.7,111.7,20.0,3.343278986989162,0.0,0.0,180.0
2018-05-02,Grid_20.0_123.4,123.4,20.0,2.997053494269153,0.0,0.0,180.0
2018-05-02,Grid_20.0_135.0,135.0,20.0,4.124724117815504,0.0,0.0,180.0
2018-05-02,Grid_32.5_100.0,100.0,32.5,28.853611055978945,0.0,0.9131759813332163,56.55332214669406
2018-05-02,Grid_32.5_111.7,111.7,32.5,152.22458671360073,0.0,1.634746263949785,348.4235456728084
2018-05-02,Grid_32.5_123.4,123.4,32.5,45.197086961934474,0.0,0.0,180.0
2018-05-02,Grid_32.5_135.0,135.0,32.5,18.342865004683517,0.0,0.0,180.0
2018-05-02,Grid_45.0_100.0,100.0,45.0,62.64903618102835,0.0,2.985282608816243,242.47891632698327
2018-05-02,Grid_45.0_111.7,111.7,45.0,11.896537088773584,0.0,0.14476845525640297,331.2507118434503
2018-05-02,Grid_45.0_123.4,123.4,45.0,25.01743701088799,0.0,4.905411996501957,72.16802878738227
2018-05-02,Grid_45.0_135.0,135.0,45.0,36.932512159637554,0.0,4.094834567670404,14.707604784617786
2018-05-03,Grid_20.0_100.0,100.0,20.0,17.503468896507,0.0,0.30647032915884054,96.27848670277669
2018-05-03,Grid_20.0_111.7,111.7,20.0,6.604900626427934,0.0,0.0,180.0
2018-05-03,Grid_20.0_123.4,123.4,20.0,3.476315679762365,0.0,0.0,180.0
2018-05-03,Grid_20.0_135.0,135.0,20.0,3.1260514177233745,0.0,0.0,180.0
2018-05-03,Grid_32.5_100.0,100.0,32.5,12.892128253838564,0.0,0.9864146571970627,289.4877757793116
2018-05-03,Grid_32.5_111.7,111.7,32.5,133.8894577429528,0.0,2.158514812773944,322.1479355880176
2018-05-03,Grid_32.5_123.4,123.4,32.5,55.6450565625255,0.0,0.0,180.0
2018-05-03,Grid_32.5_135.0,135.0,32.5,23.837579021801503,0.0,0.0,180.0
2018-05-03,Grid_45.0_100.0,100.0,45.0,49.65832545167359,0.0,3.775046455048386,187.65059574106078
2018-05-03,Grid_45.0_111.7,111.7,45.0,35.619532212649574,0.0,5.576810622453054,258.51698882446806
2018-05-03,Grid_45.0_123.4,123.4,45.0,22.00620308201451,0.0,3.7696875644782364,95.7132537668959
2018-05-03,Grid_45.0_135.0,135.0,45.0,12.785262626380245,0.0,5.4285748600898165,0.12997259773700875
2018-05-04,Grid_20.0_100.0,100.0,20.0,17.07542551798724,0.0,0.7618104496027291,259.3186977100681
2018-05-04,Grid_20.0_111.7,111.7,20.0,11.461050775096737,0.0,0.0,180.0
2018-05-04,Grid_20.0_123.4,123.4,20.0,11.991612147710384,0.0,0.0,180.0
2018-05-04,Grid_20.0_135.0,135.0,20.0,4.421603971849208,0.0,0.0,180.0
2018-05-04,Grid_32.5_100.0,100.0,32.5,4.513230233982313,0.0,0.788211279536129,205.1609574140191
2018-05-04,Grid_32.5_111.7,111.7,32.5,109.68239649855605,0.0,1.5902829322701955,327.7348944550437
2018-05-04,Grid_32.5_123.4,123.4,32.5,29.959597469542132,0.0,0.0,180.0
2018-05-04,Grid_32.5_135.0,135.0,32.5,18.452036343319378,0.0,0.0,180.0
2018-05-04,Grid_45.0_100.0,100.0,45.0,29.7492839251845,0.0,2.816968128658048,139.95236319756827
2018-05-04,Grid_45.0_111.7,111.7,45.0,74.2383718943529,0.0,4.9700523673333175,152.945275445337
2018-05-04,Grid_45.0_123.4,123.4,45.0,26.83528066427243,0.0,1.2530787873652613,21.991736414123807
2018-05-04,Grid_45.0_135.0,135.0,45.0,15.558459409703573,0.0,1.3333923529831755,342.41950831235044
2018-05-05,Grid_20.0_100.0,100.0,20.0,19.376200199872073,0.0,1.049906625010335,269.4711890824392
2018-05-05,Grid_20.0_111.7,111.7,20.0,6.309627043066257,0.0,0.0,180.0
2018-05-05,Grid_20.0_123.4,123.4,20.0,7.612507069154617,0.0,0.0,180.0
2018-05-05,Grid_20.0_135.0,135.0,20.0,6.15527850911235,0.0,0.0,180.0
