Date,Location,Longitude,Latitude,PM2.5 (µg/m³),PM10 (µg/m³),Wind Speed (m/s),Wind Direction (degrees)
2018-02-01,Grid_20.0_100.0,100.0,20.0,33.51827615460934,0.0,1.0946059397471943,73.28408335400968
2018-02-01,Grid_20.0_111.7,111.7,20.0,65.0280114200541,0.0,0.0,180.0
2018-02-01,Grid_20.0_123.4,123.4,20.0,13.572010182372196,0.0,0.0,180.0
2018-02-01,Grid_20.0_135.0,135.0,20.0,7.6928721171043435,0.0,0.0,180.0
2018-02-01,Grid_32.5_100.0,100.0,32.5,7.106565558245848,0.0,1.2033093479825678,111.82558561503542
2018-02-01,Grid_32.5_111.7,111.7,32.5,108.57532828367766,0.0,0.9714829050064117,149.3349566982965
2018-02-01,Grid_32.5_123.4,123.4,32.5,43.10192380785338,0.0,0.0,180.0
2018-02-01,Grid_32.5_135.0,135.0,32.5,9.179533577707844,0.0,0.0,180.0
2018-02-01,Grid_45.0_100.0,100.0,45.0,2.3321826692068726,0.0,1.3552552843712031,141.6672418814926
2018-02-01,Grid_45.0_111.7,111.7,45.0,1.6320200746378077,0.0,3.1082334736669046,126.88563124505407
2018-02-01,Grid_45.0_123.4,123.4,45.0,14.218440647084662,0.0,2.099000804019774,150.27121082523215
2018-02-01,Grid_45.0_135.0,135.0,45.0,8.251850758256296,0.0,0.41160190471607344,21.45687464375399
2018-02-02,Grid_20.0_100.0,100.0,20.0,39.90126273833994,0.0,0.7146131438717586,20.75804980622101
2018-02-02,Grid_20.0_111.7,111.7,20.0,80.11834751187052,0.0,0.0,180.0
2018-02-02,Grid_20.0_123.4,123.4,20.0,12.102520763335178,0.0,0.0,180.0
2018-02-02,Grid_20.0_135.0,135.0,20.0,5.575496953014181,0.0,0.0,180.0
2018-02-02,Grid_32.5_100.0,100.0,32.5,8.180985666683682,0.0,0.7699043182303371,118.7702045191346
2018-02-02,Grid_32.5_111.7,111.7,32.5,68.01169405434848,0.0,2.457180723679232,120.76868047959215
2018-02-02,Grid_32.5_123.4,123.4,32.5,55.03028077669114,0.0,0.0,180.0
2018-02-02,Grid_32.5_135.0,135.0,32.5,8.737496948185708,0.0,0.0,180.0
2018-02-02,Grid_45.0_100.0,100.0,45.0,2.2155488554886915,0.0,0.6290581124460614,183.3875811166174
2018-02-02,Grid_45.0_111.7,111.7,45.0,2.8574302923800587,0.0,2.834748290822998,177.16848070186398
2018-02-02,Grid_45.0_123.4,123.4,45.0,21.914484449325755,0.0,2.6415194774639854,114.42404930265971
2018-02-02,Grid_45.0_135.0,135.0,45.0,3.788459768117036,0.0,0.9426467126314526,27.492727815496266
2018-02-03,Grid_20.0_100.0,100.0,20.0,46.92244459647554,0.0,1.4113086858034216,66.36217828329947
2018-02-03,Grid_20.0_111.7,111.7,20.0,77.25745376774285,0.0,0.0,180.0
2018-02-03,Grid_20.0_123.4,123.4,20.0,15.522562790692973,0.0,0.0,180.0
2018-02-03,Grid_20.0_135.0,135.0,20.0,9.355911601005573,0.0,0.0,180.0
2018-02-03,Grid_32.5_100.0,100.0,32.5,6.2779639264931575,0.0,0.33262318994377554,130.3457247230551
2018-02-03,Grid_32.5_111.7,111.7,32.5,114.6649850625181,0.0,0.4644104558080094,260.5282924927978
2018-02-03,Grid_32.5_123.4,123.4,32.5,12.304634644522139,0.0,0.0,180.0
2018-02-03,Grid_32.5_135.0,135.0,32.5,13.163703016516592,0.0,0.0,180.0
2018-02-03,Grid_45.0_100.0,100.0,45.0,3.1909981323963166,0.0,0.6113792207469055,214.80527385700623
2018-02-03,Grid_45.0_111.7,111.7,45.0,3.6851408591331847,0.0,2.825555716985137,174.34734671695318
2018-02-03,Grid_45.0_123.4,123.4,45.0,25.37851173656236,0.0,1.729411073955658,111.3018539677127
2018-02-03,Grid_45.0_135.0,135.0,45.0,4.714350687606839,0.0,1.8959927505529837,94.03799136435588
2018-02-04,Grid_20.0_100.0,100.0,20.0,44.57650604194896,0.0,0.6323359418052256,300.0542806694544
2018-02-04,Grid_20.0_111.7,111.7,20.0,83.63355163965025,0.0,0.0,180.0
2018-02-04,Grid_20.0_123.4,123.4,20.0,18.05209670635577,0.0,0.0,180.0
2018-02-04,Grid_20.0_135.0,135.0,20.0,10.991273668992108,0.0,0.0,180.0
2018-02-04,Grid_32.5_100.0,100.0,32.5,5.284210846667747,0.0,1.4570075420204343,117.79820613298322
2018-02-04,Grid_32.5_111.7,111.7,32.5,108.59918120331713,0.0,0.9137791965283701,191.91611897684254
2018-02-04,Grid_32.5_123.4,123.4,32.5,22.336152483148908,0.0,0.0,180.0
