Date,Location,Longitude,Latitude,PM2.5 (µg/m³),PM10 (µg/m³),Wind Speed (m/s),Wind Direction (degrees)
2019-06-01,Grid_20.0_100.0,100.0,20.0,13.763817641176956,0.0,1.5999677234951273,272.0001665920037
2019-06-01,Grid_20.0_111.7,111.7,20.0,9.177928639303445,0.0,0.0,180.0
2019-06-01,Grid_20.0_123.4,123.4,20.0,3.644023749416192,0.0,0.0,180.0
2019-06-01,Grid_20.0_135.0,135.0,20.0,1.5506899098127747,0.0,0.0,180.0
2019-06-01,Grid_32.5_100.0,100.0,32.5,43.88758156892436,0.0,1.9743163011959017,151.6879123013924
2019-06-01,Grid_32.5_111.7,111.7,32.5,78.67357965096744,0.0,1.2098911037801796,245.97977752758408
2019-06-01,Grid_32.5_123.4,123.4,32.5,22.514484498969978,0.0,0.0,180.0
2019-06-01,Grid_32.5_135.0,135.0,32.5,18.173867744053496,0.0,0.0,180.0
2019-06-01,Grid_45.0_100.0,100.0,45.0,71.21222722616949,0.0,3.9850540178306417,129.82238015424667
2019-06-01,Grid_45.0_111.7,111.7,45.0,156.09703041263856,0.0,2.367671630585944,237.9039019474983
2019-06-01,Grid_45.0_123.4,123.4,45.0,17.640775951122123,0.0,3.254182826461146,239.24579132117972
2019-06-01,Grid_45.0_135.0,135.0,45.0,9.781657261953569,0.0,1.8869273388376437,196.16546975623183
2019-06-02,Grid_20.0_100.0,100.0,20.0,15.86990627799878,0.0,1.2361969198343217,264.31890243512146
2019-06-02,Grid_20.0_111.7,111.7,20.0,12.220759515457758,0.0,0.0,180.0
2019-06-02,Grid_20.0_123.4,123.4,20.0,5.100620814602053,0.0,0.0,180.0
2019-06-02,Grid_20.0_135.0,135.0,20.0,2.917071473262922,0.0,0.0,180.0
2019-06-02,Grid_32.5_100.0,100.0,32.5,19.821301933120594,0.0,1.8100783508895872,158.27372569502845
2019-06-02,Grid_32.5_111.7,111.7,32.5,86.38927084803072,0.0,1.3531608254662388,276.82603665141016
2019-06-02,Grid_32.5_123.4,123.4,32.5,21.47638333838131,0.0,0.0,180.0
2019-06-02,Grid_32.5_135.0,135.0,32.5,11.435385971481082,0.0,0.0,180.0
2019-06-02,Grid_45.0_100.0,100.0,45.0,98.00885436561657,0.0,2.358444313617658,199.34878061231376
2019-06-02,Grid_45.0_111.7,111.7,45.0,74.19200898084455,0.0,2.6469989981897264,156.3815621123526
2019-06-02,Grid_45.0_123.4,123.4,45.0,60.70563784987826,0.0,3.0490035461425276,41.98399566921685
2019-06-02,Grid_45.0_135.0,135.0,45.0,19.77303476508041,0.0,2.1286392672817827,239.5351269825091
2019-06-03,Grid_20.0_100.0,100.0,20.0,16.25088508205863,0.0,1.7849920751614348,258.9533598143382
2019-06-03,Grid_20.0_111.7,111.7,20.0,11.092065932416517,0.0,0.0,180.0
2019-06-03,Grid_20.0_123.4,123.4,20.0,4.943837783599747,0.0,0.0,180.0
2019-06-03,Grid_20.0_135.0,135.0,20.0,4.0003333978688715,0.0,0.0,180.0
2019-06-03,Grid_32.5_100.0,100.0,32.5,6.532307139650584,0.0,1.7411343839342703,266.9664902551656
