Date,Location,Longitude,Latitude,PM2.5 (µg/m³),PM10 (µg/m³),Wind Speed (m/s),Wind Direction (degrees)
2018-11-01,Grid_20.0_100.0,100.0,20.0,32.34132250895527,0.0,1.4340190996460829,87.3064187309238
2018-11-01,Grid_20.0_111.7,111.7,20.0,48.98802785646694,0.0,0.0,180.0
2018-11-01,Grid_20.0_123.4,123.4,20.0,5.320749174586581,0.0,0.0,180.0
2018-11-01,Grid_20.0_135.0,135.0,20.0,3.500756573515673,0.0,0.0,180.0
2018-11-01,Grid_32.5_100.0,100.0,32.5,3.0235387527000057,0.0,1.0751804629508408,143.27812652043218
2018-11-01,Grid_32.5_111.7,111.7,32.5,141.6935617726267,0.0,2.2333112903610832,4.6499872722968405
2018-11-01,Grid_32.5_123.4,123.4,32.5,8.171568310899602,0.0,0.0,180.0
2018-11-01,Grid_32.5_135.0,135.0,32.5,6.273710440041214,0.0,0.0,180.0
2018-11-01,Grid_45.0_100.0,100.0,45.0,130.08393295876886,0.0,1.285206859110685,234.75993890800618
2018-11-01,Grid_45.0_111.7,111.7,45.0,179.82105759983824,0.0,5.2881541016800995,268.7148552586903
2018-11-01,Grid_45.0_123.4,123.4,45.0,22.85526967682472,0.0,2.687236734685431,248.1868273993348
2018-11-01,Grid_45.0_135.0,135.0,45.0,24.47973734831521,0.0,1.8886282910621082,153.66364557241118
2018-11-02,Grid_20.0_100.0,100.0,20.0,43.97296748948065,0.0,0.6826745703089042,94.63484065114744
2018-11-02,Grid_20.0_111.7,111.7,20.0,32.86519856260384,0.0,0.0,180.0
2018-11-02,Grid_20.0_123.4,123.4,20.0,3.40161876444256,0.0,0.0,180.0
2018-11-02,Grid_20.0_135.0,135.0,20.0,3.743624077401364,0.0,0.0,180.0
2018-11-02,Grid_32.5_100.0,100.0,32.5,3.5024056987964514,0.0,0.7829130554455266,189.45107211994485
2018-11-02,Grid_32.5_111.7,111.7,32.5,93.86427990420998,0.0,2.5649773751217593,2.879364422325324
2018-11-02,Grid_32.5_123.4,123.4,32.5,10.39602981478538,0.0,0.0,180.0
2018-11-02,Grid_32.5_135.0,135.0,32.5,5.623304932811379,0.0,0.0,180.0
2018-11-02,Grid_45.0_100.0,100.0,45.0,35.15672020171223,0.0,2.9123572926028225,130.5927519717439
2018-11-02,Grid_45.0_111.7,111.7,45.0,154.52957313755178,0.0,0.8189690239802745,49.04784081962197
2018-11-02,Grid_45.0_123.4,123.4,45.0,54.450232767067064,0.0,5.113842897113093,249.35152552316953
2018-11-02,Grid_45.0_135.0,135.0,45.0,17.52032474655607,0.0,1.2308327590959918,200.21220418462852
2018-11-03,Grid_20.0_100.0,100.0,20.0,56.842203832729865,0.0,0.08457172903345304,158.0738941728014
2018-11-03,Grid_20.0_111.7,111.7,20.0,28.848900157640855,0.0,0.0,180.0
2018-11-03,Grid_20.0_123.4,123.4,20.0,4.355645177867018,0.0,0.0,180.0
2018-11-03,Grid_20.0_135.0,135.0,20.0,4.715042578595785,0.0,0.0,180.0
2018-11-03,Grid_32.5_100.0,100.0,32.5,3.7576137756900607,0.0,0.7791674616134637,216.34284501075513
2018-11-03,Grid_32.5_111.7,111.7,32.5,99.86256799265902,0.0,1.254552304758813,32.35943073715353
2018-11-03,Grid_32.5_123.4,123.4,32.5,11.208641126358998,0.0,0.0,180.0
2018-11-03,Grid_32.5_135.0,135.0,32.5,7.265350543406157,0.0,0.0,180.0
2018-11-03,Grid_45.0_100.0,100.0,45.0,46.7459848607632,0.0,1.0757402823830444,259.73077209238284
2018-11-03,Grid_45.0_111.7,111.7,45.0,8.149371844012876,0.0,4.5143973585961215,50.058422822557645
2018-11-03,Grid_45.0_123.4,123.4,45.0,68.6421444129337,0.0,3.674287211136804,85.09884135178432
2018-11-03,Grid_45.0_135.0,135.0,45.0,12.373334357107524,0.0,2.058545733426899,186.1875996135431
2018-11-04,Grid_20.0_100.0,100.0,20.0,57.70247568648301,0.0,0.06204162830390878,182.75126276219012
2018-11-04,Grid_20.0_111.7,111.7,20.0,16.95325480000065,0.0,0.0,180.0
2018-11-04,Grid_20.0_123.4,123.4,20.0,4.530048780537754,0.0,0.0,180.0
2018-11-04,Grid_20.0_135.0,135.0,20.0,6.6981913349195565,0.0,0.0,180.0
2018-11-04,Grid_32.5_100.0,100.0,32.5,3.2814226891275666,0.0,1.3066064584208543,253.93512968119649
2018-11-04,Grid_32.5_111.7,111.7,32.5,104.99635294536347,0.0,1.573949460768415,160.54131838814453
2018-11-04,Grid_32.5_123.4,123.4,32.5,11.269777999700636,0.0,0.0,180.0
2018-11-04,Grid_32.5_135.0,135.0,32.5,7.38455607773858,0.0,0.0,180.0
2018-11-04,Grid_45.0_100.0,100.0,45.0,36.785159807095624,0.0,1.1783338963950276,157.03710696174474
2018-11-04,Grid_45.0_111.7,111.7,45.0,6.7322347696574525,0.0,2.8793722863509563,247.72594584986268
2018-11-04,Grid_45.0_123.4,123.4,45.0,20.502097797248098,0.0,2.2023747936003657,56.32829907266138
2018-11-04,Grid_45.0_135.0,135.0,45.0,24.034147116935856,0.0,1.8242002846930776,113.89560200799657
