Date,City,Longitude,Latitude,PM2.5 (µg/m³),PM10 (µg/m³),Wind Speed (m/s),Wind Direction (degrees)
2020-07-01,Seoul,126.978,37.5665,27.586445128235937,0.0,1.258177107575357,263.88486964924925
2020-07-01,Tokyo,139.6917,35.6895,3.6064784492140234,0.0,9.731312962067353,252.71412692962875
2020-07-01,Beijing,116.4074,39.9042,50.381565586121724,0.0,0.48501598991463757,34.247026547648574
2020-07-01,Delhi,77.1025,28.7041,39.16651181157249,0.0,1.5028278786521096,336.2208933541732
2020-07-01,Bangkok,100.5018,13.7563,7.694204384733894,0.0,2.3338448662929343,228.40884933713895
2020-07-01,Busan,129.0756,35.1796,13.568363321780907,0.0,1.5414926324292049,210.83156764472054
2020-07-01,Daegu,128.5911,35.8704,17.875287028346065,0.0,1.289150649953521,138.62123228770187
2020-07-01,Osaka,135.5023,34.6937,4.797506392151263,0.0,2.9947317003062546,209.9521460792512
2020-07-01,Sapporo,141.3545,43.0618,5.295197169630228,0.0,0.8981115846046882,126.12625233381877
2020-07-01,Fukuoka,130.4017,33.5904,8.114014349303034,0.0,1.1658842657210675,169.82231671693057
2020-07-01,Kyoto,135.7681,35.0116,6.348336523132048,0.0,2.4152856246136922,218.1109953963869
2020-07-01,Shanghai,121.4737,31.2304,14.915324086928194,0.0,3.6458244467403405,332.8918887761273
2020-07-01,Guangzhou,113.2644,23.1291,13.579958491050093,0.0,1.7159428659520748,332.9744148428524
2020-07-01,Chongqing,106.5516,29.563,29.068290885447823,0.0,0.2723207043832679,351.0514002994811
2020-07-01,Tianjin,117.1902,39.1256,37.436613808949915,0.0,2.6716468040226653,239.74301223594256
2020-07-01,Wuhan,114.3055,30.5928,42.412366951793956,0.0,2.3447664232043106,46.0974781419587
2020-07-01,Nanjing,118.7969,32.0603,37.09737939061597,0.0,3.059471635095152,343.6803055193858
2020-07-01,Hangzhou,120.1551,30.2741,36.74166748623975,0.0,2.5436242193739824,7.53653342791543
2020-07-01,Chengdu,104.0668,30.5728,51.734556194560355,0.0,2.124494591853982,101.1503616853362
2020-07-01,Almaty,76.8512,43.222,20.386501375924126,0.0,2.0608776368714516,267.2082036276918
2020-07-01,Bishkek,74.5698,42.8746,14.199719622354223,0.0,1.8908326504715216,280.31543350915933
2020-07-01,Dushanbe,68.7864,38.5481,20.211462725683305,0.0,0.645812603454098,93.9919194006451
2020-07-01,Kathmandu,85.324,27.7172,9.859536298506555,0.0,0.5438204022209366,230.6844028243908
2020-07-01,Yangon,96.1951,16.8409,2.3792339209904867,0.0,2.072672248369225,224.0320832488383
2020-07-01,Guwahati,91.7362,26.1445,9.50327194715328,0.0,1.2758457719794574,177.88900295371712
2020-07-01,Ulaanbaatar,106.9057,47.8864,6.382021133788385,0.0,1.7671693985928216,30.370882537680757
2020-07-01,Irkutsk,104.2964,52.2869,8.34961078055585,0.0,1.346819698227832,303.4030874812462
2020-07-02,Seoul,126.978,37.5665,31.336746530996606,0.0,0.6197286336651554,258.4932616689263
2020-07-02,Tokyo,139.6917,35.6895,8.588977529200292,0.0,4.035742996332578,246.17056222775915
2020-07-02,Beijing,116.4074,39.9042,50.60519825406118,0.0,1.2647873041349977,21.748952780276767
2020-07-02,Delhi,77.1025,28.7041,53.22830176623938,0.0,0.7944273843141814,354.3435460614544
2020-07-02,Bangkok,100.5018,13.7563,6.650922035333906,0.0,2.9422467825287715,226.4953857671737
2020-07-02,Busan,129.0756,35.1796,12.964329165754407,0.0,2.239747802329171,12.674327264184342
2020-07-02,Daegu,128.5911,35.8704,27.99001919129296,0.0,1.0090521341834022,324.26183401355837
2020-07-02,Osaka,135.5023,34.6937,9.61516821718078,0.0,0.6146578212236206,138.39490125180262
2020-07-02,Sapporo,141.3545,43.0618,4.8873070035426736,0.0,1.76357915504049,142.3091426419226
2020-07-02,Fukuoka,130.4017,33.5904,13.101675300219995,0.0,1.8513959955484616,43.23167529098481
2020-07-02,Kyoto,135.7681,35.0116,7.878324659316149,0.0,0.905947007252273,138.2599884106117
2020-07-02,Shanghai,121.4737,31.2304,10.616954426723169,0.0,4.69483349829443,318.396759266745
2020-07-02,Guangzhou,113.2644,23.1291,9.197710149067007,0.0,2.8080884775578956,296.64013558732114
2020-07-02,Chongqing,106.5516,29.563,33.92671743540632,0.0,0.6540828107393832,269.39327175706467
2020-07-02,Tianjin,117.1902,39.1256,40.79178950178175,0.0,2.8073623543926423,353.0362969902035
2020-07-02,Wuhan,114.3055,30.5928,40.18992427745616,0.0,1.590715441780391,10.098476426200307
2020-07-02,Nanjing,118.7969,32.0603,22.574319302748336,0.0,2.5941737700511376,345.13162836697074
2020-07-02,Hangzhou,120.1551,30.2741,27.363284971215762,0.0,1.6826846683283574,307.42192298869753
2020-07-02,Chengdu,104.0668,30.5728,51.7909413133566,0.0,0.5219715413239957,271.91102725177257
2020-07-02,Almaty,76.8512,43.222,18.227275688786904,0.0,0.6451054394779381,239.5140538414181
2020-07-02,Bishkek,74.5698,42.8746,13.207153592986742,0.0,0.7516586000401358,178.729273156717
2020-07-02,Dushanbe,68.7864,38.5481,14.465925346485164,0.0,0.5850347768581379,62.10463032913947
2020-07-02,Kathmandu,85.324,27.7172,8.464694722931654,0.0,0.506118122660496,268.9671078037718
2020-07-02,Yangon,96.1951,16.8409,2.4416790811443434,0.0,2.321284936731637,226.34883960655355
2020-07-02,Guwahati,91.7362,26.1445,10.437074315916561,0.0,0.4750255291921119,132.04383991532626
2020-07-02,Ulaanbaatar,106.9057,47.8864,2.7487763176736735,0.0,1.7831881886523044,345.9508918768605
