Date,City,Longitude,Latitude,PM2.5 (µg/m³),PM10 (µg/m³),Wind Speed (m/s),Wind Direction (degrees)
2017-11-01,Seoul,126.978,37.5665,168.78257724783907,0.0,1.7071501297641212,232.87702160002547
2017-11-01,Tokyo,139.6917,35.6895,63.969523012019636,0.0,1.0004451276119979,89.20640716602344
2017-11-01,Beijing,116.4074,39.9042,397.2702131704864,0.0,0.33918035144000924,25.621689434383455
2017-11-01,Delhi,77.1025,28.7041,328.5830985078064,0.0,2.321459009900485,334.7391803444251
2017-11-01,Bangkok,100.5018,13.7563,66.92365417393376,0.0,2.4624380983498972,72.37014379307404
2017-11-01,Busan,129.0756,35.1796,14.879153908964327,0.0,1.9657921499093356,179.3256641502565
2017-11-01,Daegu,128.5911,35.8704,83.34924928021792,0.0,0.9387744672952409,145.55169156024175
2017-11-01,Osaka,135.5023,34.6937,18.508977461806353,0.0,0.13471751363540685,102.40021989771812
2017-11-01,Sapporo,141.3545,43.0618,31.900704300369398,0.0,2.0156905967681857,197.93854116397594
2017-11-01,Fukuoka,130.4017,33.5904,17.55393874702804,0.0,0.3793021868814231,239.39775058761796
2017-11-01,Kyoto,135.7681,35.0116,29.83171043524635,0.0,0.503880634492229,198.9109039888923
2017-11-01,Shanghai,121.4737,31.2304,134.71981219481677,0.0,1.9026853234951806,307.16884799438026
2017-11-01,Guangzhou,113.2644,23.1291,396.43859395255276,0.0,1.2191400134494412,88.37807334840933
2017-11-01,Chongqing,106.5516,29.563,342.9087200856884,0.0,0.5959726063597881,208.9132458408434
2017-11-01,Tianjin,117.1902,39.1256,173.79539940520772,0.0,1.4043031249462192,321.78771782467913
2017-11-01,Wuhan,114.3055,30.5928,275.9638562110922,0.0,0.766584480362188,306.07300219985757
2017-11-01,Nanjing,118.7969,32.0603,274.84773568176024,0.0,0.6102099047453126,300.2508061072732
2017-11-01,Hangzhou,120.1551,30.2741,165.4709791409914,0.0,0.20550886502256185,332.3679600671654
2017-11-01,Chengdu,104.0668,30.5728,261.24618557332724,0.0,0.2975934817878429,288.3586346933124
